"","AMASYA ÜNİVERSİTESİ","DEVLET","AMASYA","İKİNCİ Ö.","1425","919","2344","724","530","1254","0","0","0","0","0","0","2149","1449","3598",""
"","AMASYA ÜNİVERSİTESİ","DEVLET","AMASYA","UZAKTAN Ö.","635","694","1329","105","108","213","61","16","77","0","0","0","801","818","1619",""
"","ANADOLU ÜNİVERSİTESİ","DEVLET","ESKİŞEHİR","BİRİNCİ Ö.","823","1082","1905","9004","9111","18115","1172","1447","2619","886","839","1725","11885","12479","24364",""
"","ANADOLU ÜNİVERSİTESİ","DEVLET","ESKİŞEHİR","İKİNCİ Ö.","12","8","20","91","44","135","171","167","338","0","0","0","274","219","493",""
"","ANADOLU ÜNİVERSİTESİ","DEVLET","ESKİŞEHİR","UZAKTAN Ö.","80","44","124","0","0","0","1022","460","1482","0","0","0","1102","504","1606",""
"","ANADOLU ÜNİVERSİTESİ","DEVLET","ESKİŞEHİR","AÇIK Ö.","699365","811867","1511232","1074047","749531","1823578","0","0","0","0","0","0","1773412","1561398","3334810",""
"","ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ","DEVLET","ANKARA","BİRİNCİ Ö.","503","1000","1503","8806","10320","19126","2582","2729","5311","1080","924","2004","12971","14973","27944",""
"","ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ","DEVLET","ANKARA","İKİNCİ Ö.","0","0","0","0","0","0","320","121","441","0","0","0","320","121","441",""
"","ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ","DEVLET","ANKARA","UZAKTAN Ö.","0","0","0","0","0","0","13","2","15","0","0","0","13","2","15",""
"","ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ","DEVLET","ANKARA","BİRİNCİ Ö.","0","0","0","24","11","35","14","7","21","6","4","10","44","22","66",""
"","ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ","DEVLET","ANKARA","BİRİNCİ Ö.","0","0","0","282","316","598","242","165","407","34","10","44","558","491","1049",""
"","ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ","DEVLET","ANKARA","İKİNCİ Ö.","0","0","0","0","0","0","8","13","21","0","0","0","8","13","21",""
"","ANKARA ÜNİVERSİTESİ","DEVLET","ANKARA","BİRİNCİ Ö.","2271","2713","4984","18030","20959","38989","3152","3696","6848","2842","2846","5688","26295","30214","56509",""
"","ANKARA ÜNİVERSİTESİ","DEVLET","ANKARA","İKİNCİ Ö.","449","164","613","173","151","324","1041","569","1610","0","0","0","1663","884","2547",""
"","ANKARA ÜNİVERSİTESİ","DEVLET","ANKARA","UZAKTAN Ö.","1004","933","1937","779","1599","2378","208","80","288","0","0","0","1991","2612","4603",""
"","ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ","DEVLET","ANKARA","BİRİNCİ Ö.","699","836","1535","5178","6514","11692","1226","1274","2500","761","451","1212","7864","9075","16939",""
"","ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ","DEVLET","ANKARA","İKİNCİ Ö.","50","35","85","426","547","973","362","209","571","0","0","0","838","791","1629",""
"","ANTALYA AKEV ÜNİVERSİTESİ","VAKIF","ANTALYA","BİRİNCİ Ö.","146","124","270","103","65","168","0","0","0","0","0","0","249","189","438",""
"","ANTALYA BİLİM ÜNİVERSİTESİ","VAKIF","ANTALYA","BİRİNCİ Ö.","71","27","98","1481","1318","2799","275","155","430","0","0","0","1827","1500","3327",""
"","ARDAHAN ÜNİVERSİTESİ","DEVLET","ARDAHAN","BİRİNCİ Ö.","535","500","1035","1460","1256","2716","96","95","191","17","25","42","2108","1876","3984",""
"","ARDAHAN ÜNİVERSİTESİ","DEVLET","ARDAHAN","İKİNCİ Ö.","113","15","128","555","350","905","0","0","0","0","0","0","668","365","1033",""
"","ARTVİN ÇORUH ÜNİVERSİTESİ","DEVLET","ARTVİN","BİRİNCİ Ö.","2419","1740","4159","1492","2330","3822","249","132","381","15","6","21","4175","4208","8383",""
"","ARTVİN ÇORUH ÜNİVERSİTESİ","DEVLET","ARTVİN","İKİNCİ Ö.","369","329","698","101","179","280","0","0","0","0","0","0","470","508","978",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU","VAKIF MYO","İSTANBUL","BİRİNCİ Ö.","659","472","1131","0","0","0","0","0","0","0","0","0","659","472","1131",""
